player_id,name,standard_rating,blitz_rating,gender,rapid_rating,title
447066393,"Maimyshev, Khassen",,1673,Male,,
557010501,"Kulumkanov, Tanat",,1668,Male,,
13784285,"Abdulgaziyeva, Zhanar",,1667,Female,,
13727931,"Kuanyshbayev, Erkebulan",,1663,Male,,
447042869,"Kokanbayev, Kaiyrbek",,1643,Male,,
557003424,"Orazbayev, Asylbek",,1622,Male,,
447026316,"Nurpeysov, Nursultan",,1605,Male,,
447066369,"Kamaliev, Meirzhan",,1589,Male,,
557003440,"Bulekbayev, Damir",,1588,Male,,
447025859,"Nurgaliev, Bolat",,1575,Male,,
447083085,"Baluankanov, Gizat",,1558,Male,,
447068574,"Kaldanova, Azhar",,1555,Female,,
447076208,"Kaltayev, Marat",,1525,Male,,
447025476,"Karakhanov, Rishat",,1524,Male,,
447066571,"Kartov, Ansagan",,1502,Male,,
13707310,"Kanirov, Bakhtybek",,1496,Male,,
557008396,"Podkorytov, Denis",,1495,Male,,
447084820,"Alimbekov, Tileubek",,1486,Male,,
557007071,"Akanova, Zhanagul",,1483,Female,,
447055588,"Okasov, Murat",,1478,Male,,
447068531,"Alimgazykyzy, Anar",,1460,Female,,
447055600,"Tukanov, Rysbek",,1435,Male,,
447084863,"Makhtiev, Kuanysh",,1426,Male,,
447077980,"Shaltynov, Askhat",,1406,Male,,
557014248,"Karipbayev, Satyzhan",,1404,Male,,
447066270,"Baiketayev, Nurzhan",,0,Male,,
447028084,"Balkanbekov, Erik",,0,Male,,
447068566,"Berkutbaeva, Alina",,0,Female,,
447022574,"Dosymkhanov, Tungat",,0,Male,,
447086980,"Gurskaya, Elena",,0,Female,,
42238641,"Boiangiu-Agafitei, Matei",898,898,Male,,
79330940,"Pek, Matija",,,Male,1401,
3655415,"Cajas Toapanta, Jahir Manuel",,1855,Male,,
29604427,"Pille, Cruz Liam",,,Male,1614,
13707701,"Baktybayev, Bayanbek",,0,Male,,
2860376,"Raschetin, Nikita",,1657,Male,,
14982617,"Belovic, Samuel",,1596,Male,,
14982730,"Bartosova, Emma",,1502,Female,,
14993619,"Voskar, Miloslav",,1475,Male,,
564043380,Advith Anishetty,,,Male,1418,
537075438,Akshath Chowhan Lavudiya,,,Male,1437,
42239060,"Tantau, Dan-Casian",922,922,Male,,
1218697,"Tamas, Alexandru-Marius",,1532,Male,,
1232312,"Kedves, Lorand",,1744,Male,,
46698264,"MANASA, NARAYAN",,,Male,1423,
447065958,"Ibraev, Nurlan",,0,Male,,
447026332,"Kadyrbek, Meyir",,0,Male,,
447084855,"Kipshakbaeva, Zhuldyz",,0,Female,,
557022054,"Kydyrbaev, Dauren",,0,Male,,
557003610,"Maisakanov, Malik",,0,Male,,
557022062,"Medeuova, Nazgul",,0,Female,,
447066423,"Musina, Alina",,0,Female,,
447066164,"Shamitov, Aslan",,0,Male,,
447084898,"Sovetkalikyzy, Arailym",,0,Female,,
447095792,"Temirkhanov, Bakhytbek",,0,Male,,
13713582,"Кайбогорова, Гульжан",,1696,Male,,
531086489,"Sri, Saai Preetham Kankanala",,,Male,1530,
547038799,"Velupukonda, Preetham Sanjay",,,Male,1479,
88136701,"Mogili, Abhinav Reddy",,,Male,1472,
558037608,"Md, Abul Fazal",,,Male,1462,
429071275,"Shriyan, Ram Shivarathri",,,Male,1435,
547090936,"Ram, Prameen Sastry Puranic",,,Male,0,
1201239,"Helmer, Janos",,2082,Male,,
1251120,"Arion, Ilie",,1989,Male,,
1244078,"Ferentiu, Raul-Florin",,1878,Male,,
1223267,"Dordai, Daniel-Ovidiu",,1809,Male,,
1290797,"Hodosi, Attila",,1798,Male,,
42245869,"Paraschiv, Andrei-Cristian",,1628,Male,,
42235502,"Cretu, Eduard Andrei",,1627,Male,,
1256963,"Bindea, Robert-Alexandru",,1625,Male,,
1290223,"Bichis, Tudor",,1548,Male,,
42233976,"Luca, Vlad-Codrin",1558,1545,Male,,
46616357,"Nair, Devika",,,Male,1414,
14980703,"Kapinaj, Matus",,2123,Male,,
24224073,"Iankin, Arsenii",,2070,Male,,
14906341,"Vrbova, Niki",,2039,Female,,WFM
14967537,"Karaba, Rudolf",,1997,Male,,
1680838,"Archan, Elikya",,1979,Male,,
14922320,"Laky, Peter",,1966,Male,,
14952866,"Kotlar, Maros",,1956,Male,,
14916304,"Luptak, Pavol",,1952,Male,,
14912392,"Kamenicky, Tomas",,1941,Male,,
2321963,"Kovacik, Oliver",,1938,Male,,
14915880,"Horecky, Peter",,1936,Male,,
14967499,"Pisarcik, Richard",,1914,Male,,
14943417,"Andre, Jan",,1907,Male,,
14975831,"Janovicek, Lukas",,1891,Male,,
14973308,"Srnak, Martin",,1883,Male,,
14988267,"Sekera, Timotej",,1878,Male,,
73622885,"Livnansky, Michal",,1856,Male,,
14991233,"Kvassay, Marek",,1854,Male,,
14909790,"Vrba, Michal",,1854,Male,,
14967634,"Livnansky, Tomas",,1847,Male,,
14973081,"Cerny, Patrik",,1845,Male,,
14982846,"Macakova, Bianka",,1838,Female,,
14988810,"Vesely, Filip",,1834,Male,,
14976293,"Nosal, Tobias",,1820,Male,,
14970511,"Guba, Peter",,1817,Male,,
14984741,"Hanzel, Richard",,1790,Male,,
549005871,"Kovacik, Radko",,1778,Male,,
14984709,"Lukianov, Mykhailo",,1761,Male,,
14986388,"Piussi, Maximilian",,1754,Male,,
14971666,"Buday, Alexander",,1730,Male,,
14987872,"Vanco, Simon",,1727,Male,,
14988682,"Vasylchuk, Oleg",,1718,Male,,
14973090,"Cerny, Filip",,1717,Male,,
14996308,"Kapicak, Filip",,1710,Male,,
549001159,"Seinov, Davyd",,1687,Male,,
14983281,"Pauko, Sebastian",,1667,Male,,
14996391,"Bublyk, Pavlo",,1661,Male,,
34196757,"Kuzebnyi, Danylo",,1651,Male,,
14971976,"Gallo, Filip",,1649,Male,,
14979314,"Vavra, Martin",,1646,Male,,
14996715,"Brojo, Marek",,1645,Male,,
549001523,"Zabaikin, Pavlo",,1643,Male,,
14960354,"Korenek, Matus",,1623,Male,,
14944057,"Dubnicka, Ferdinand",,1605,Male,,
14976633,"Skypala, Simon",,1604,Male,,
14998270,"Zeman, Alex",,1602,Male,,
14978954,"Mikulas, Matej",,1594,Male,,
14980509,"Lopusna, Katarina",,1592,Female,,
14920751,"Zahorsky, Michal",,1592,Male,,
549002457,"Kapus, Samuel",,1588,Male,,
14984105,"Jusko, Jakub",,1587,Male,,
14910489,"Gonda, Jan",,1584,Male,,
14970236,"Kosut, Simon",,1556,Male,,
14936178,"Vas, Jozef",,1550,Male,,
1690450,"Brezlan, Noel",,1548,Male,,
14998416,"Hudik, Lubos",,1541,Male,,
14984245,"Jusko, Adrian",,1538,Male,,
14996510,"Moore, Dominik",,1535,Male,,
14997711,"Gregor, Tomas",,1503,Male,,
14998084,"Hloska, Alexander",,1501,Male,,
14990237,"Belovic, Igor",,1499,Male,,
549006177,"Vu Nguyen, Minh Huy",,1498,Male,,
549000861,"Zelina, Matej",,1457,Male,,
14985357,"Slamka, Tomas",,1446,Male,,
549001396,"Gallagher, Henry",,1442,Male,,
549004387,"Hodal, Peter",,1441,Male,,
14994941,"Katreniak, Branislav",,1433,Male,,
42232341,"Almasan, Albert-Mihail",1573,1420,Male,,
55704573,"Горбунов, Михаил Леонидович",,1613,Male,,
14977540,"Slamka, Matias",,1621,Male,,
3637425,"Alvarado Navarro, Dante",,1754,Male,,
29626676,"Bravo, Alvarez Karel",,,Male,1576,
14979373,"Kovacikova, Simona",,1522,Female,,
549005707,"Alesenkova, Anna",,1000,Female,,
549005901,"Sefcova, Karolina",,1000,Female,,
14992841,"Palun, Marko",,1502,Male,,
14958295,"Zvoda, Matej",,1036,Male,,
14997703,"Bodis, Miroslav",,1000,Male,,
549001272,"Farkas, Tibor",,1000,Male,,
549003933,"Vrtak, Marko",,1000,Male,,
14400367,"Alvir, Aco",,2308,Male,,IM
4123760,"Лабунский, Дмитрий Феликсович",,2182,Male,,
24229601,"Алехин, Андрей Сергеевич",,2161,Male,,
24229962,"Каминский, Илья Александрович",,2087,Male,,
4152778,"Меньших, Михаил Александрович",,2060,Male,,
55703682,"Мизенин, Антон Михайлович",,1936,Male,,
34486330,"Полячков, Георгий Викторович",,1936,Male,,
55626076,"Рудой, Михаил Сергеевич",,1902,Male,,
522005137,"Круковский, Матвей Антонович",,1877,Male,,
55786901,"Комирский, Роман Юрьевич",,1820,Male,,
55816355,"Зиневич, Семен Алексеевич",,1805,Male,,
34324607,"Воронин, Андрей Владимирович",,1790,Male,,
55871615,"Гапоненко, Андрей Иванович",,1728,Male,,
55893511,"Плотников, Алексей Сергеевич",,1718,Male,,
24195600,"Рудь, Александр Соломонович",,1713,Male,,
540076857,"Рогачев, Кирилл Александрович",,1706,Male,,
522005102,"Распопов, Геннадий Валентинович",,1695,Male,,
